game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
106,1980,w,1-0,1.0,53,D34,7,-1,22,-1,0.0,15,k,2.0,0,2,0,2,2,36.88235294117647,35.11764705882353,1.0838481234367392,6,0,3,4,0
108,1980,w,1/2-1/2,0.5,28,A48,13,-1,-1,-1,0.0,17,k,3.0,0,-1,-1,-1,-1,43.25,42.8,0.9774621212121213,1,0,0.0,1,0
109,1980,w,1/2-1/2,0.5,55,E12,11,-1,20,-1,0.0,23,k,2.6666666666666665,0,0,1,0,2,36.55555555555556,38.72222222222222,0.9478522149139608,5,2,3,5,0
114,1980,w,1/2-1/2,0.5,36,A65,16,-1,24,-1,0.0,15,k,3.0,0,-1,-1,-1,-1,40.25,29.666666666666668,1.3931265899868166,3,0,3,3,0
115,1980,w,1-0,1.0,47,E18,20,-1,22,-1,0.0,15,k,3.0,0,0,1,0,2,42.57142857142857,32.214285714285715,1.304833481362119,5,0,4,4,0
116,1980,w,1-0,1.0,45,E17,14,-1,-1,-1,0.0,11,k,3.0,0,0,1,0,2,51.15384615384615,37.23076923076923,1.3714335290809823,3,1,6,0.0,1
117,1980,w,1-0,1.0,63,D85,7,31,10,-1,0.0,-1,none,1.25,0,0,1,1,2,39.4,28.714285714285715,1.4461324817704968,8,1,9,3,0
118,1980,w,1-0,1.0,67,D15,8,-1,16,-1,0.0,27,k,2.7,0,0,0,0,1,42.55,32.523809523809526,1.3265650095090302,7,2,6,3,1
119,1980,w,1-0,1.0,73,E15,14,-1,14,-1,0.0,-1,none,1.75,1,0,1,0,3,41.2,34.42857142857143,1.2045271865491831,6,0,3,6,0
123,1980,w,1/2-1/2,0.5,71,A09,13,51,20,-1,0.0,9,k,2.45,0,0,0,0,2,35.15,33.476190476190474,1.0867563812068313,9,0,9,5,0
126,1980,w,1-0,1.0,61,D85,7,-1,10,-1,0.0,19,k,3.0,0,0,2,1,3,49.6,34.95238095238095,1.401874377557427,6,4,4,7,1
127,1980,w,1-0,1.0,73,B19,6,60,18,72,0.0273972602739726,23,q,1.95,0,0,0,0,2,39.4,35.76190476190476,1.1081883848442287,8,1,3,9,0
134,1981,w,1-0,1.0,85,D44,10,-1,18,-1,0.0,29,k,2.6,0,2,1,1,2,42.9,43.38095238095238,1.013788621469623,12,3,3,4,1
135,1981,w,1/2-1/2,0.5,44,D43,11,23,11,-1,0.0,-1,none,1.6666666666666667,4,0,0,0,2,32.833333333333336,33.84615384615385,0.9749430524064255,6,0,9,3,0
136,1981,w,1/2-1/2,0.5,119,D18,8,44,27,85,0.29411764705882354,15,k,3.0,7,0,0,0,2,34.6,40.476190476190474,0.8613691813347181,12,1,3,9,1
137,1981,w,1-0,1.0,78,E15,21,-1,21,-1,0.0,13,k,1.8,0,0,0,0,1,42.55,30.38095238095238,1.463859072278107,6,1,4,3,1
138,1981,w,1-0,1.0,65,D34,7,-1,21,-1,0.0,13,k,3.0,0,0,0,0,2,49.4,37.57142857142857,1.340153962882796,7,4,4,3,1
139,1981,w,1-0,1.0,85,D44,10,83,18,84,0.023529411764705882,29,k,2.6,0,2,1,1,2,42.9,43.38095238095238,1.013788621469623,12,7,6,5,1
140,1981,w,1-0,1.0,91,D18,8,27,31,-1,0.0,15,k,2.6,0,0,0,0,2,32.6,38.523809523809526,0.8588598322446707,9,2,9,5,0
141,1981,w,1-0,1.0,131,D18,8,58,27,106,0.06870229007633588,15,k,2.95,0,0,0,0,2,39.25,33.19047619047619,1.2140394508750072,12,7,4,9,0
142,1981,w,1/2-1/2,0.5,65,D32,11,30,15,-1,0.0,17,k,2.3,0,0,0,0,2,35.4,35.19047619047619,1.0239312083111036,8,2,3,10,0
