game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
95,2002,w,1/2-1/2,0.5,48,E65,18,-1,26,-1,0.0,11,k,1.5714285714285714,0,0,0,0,2,39.714285714285715,38.13333333333333,1.0661865753724609,6,1,3,3,0
98,2002,w,1-0,1.0,43,B23,13,-1,13,-1,0.0,11,k,2.0,0,0,0,0,2,37.75,32.0,1.1909003346503346,3,1,0.0,5,0
100,2002,w,1/2-1/2,0.5,70,D02,14,70,17,70,0.014285714285714285,9,k,3.0,0,0,2,0,3,38.65,45.0,0.8546213641976307,10,3,3,8,0
102,2002,w,1-0,1.0,29,D00,5,25,5,-1,0.0,19,q,2.0,0,-1,-1,-1,-1,43.0,30.8,1.5120039682539683,6,2,9,4,0
103,2002,w,1/2-1/2,0.5,105,A27,8,60,11,60,0.4380952380952381,17,k,2.1,0,0,2,0,3,47.5,33.666666666666664,1.4219679460749282,10,1,5,9,0
105,2002,w,1-0,1.0,70,C05,16,69,19,69,0.02857142857142857,15,k,3.0,0,0,0,0,2,41.05,29.714285714285715,1.4673897962469715,10,4,4,8,1
106,2002,w,1-0,1.0,64,B29,7,53,12,62,0.046875,-1,none,1.9,0,0,0,0,2,35.55,35.904761904761905,1.0215914423645094,11,4,6,9,0
109,2003,w,1/2-1/2,0.5,86,E15,15,-1,27,-1,0.0,13,k,3.0,0,0,0,0,2,43.05,36.523809523809526,1.1936783781347329,8,4,5,3,1
111,2003,w,1-0,1.0,91,B53,6,-1,11,-1,0.0,19,q,2.55,0,0,0,0,2,40.9,35.95238095238095,1.1695069100442237,12,11,6,5,1
113,2003,w,0-1,0.0,72,B46,6,-1,28,-1,0.0,19,k,2.1,0,0,0,0,2,34.4,40.095238095238095,0.8543354195221994,7,4,5,2,0
115,2003,w,1/2-1/2,0.5,93,B25,24,53,24,-1,0.0,15,k,2.0,0,0,0,0,2,40.65,36.76190476190476,1.112939307215623,11,4,9,5,0
119,2003,w,1/2-1/2,0.5,27,B06,26,-1,-1,-1,0.0,13,q,2.0,0,-1,-1,-1,-1,34.5,41.0,0.7631846384253316,1,0,1,0.0,0
120,2003,w,1/2-1/2,0.5,82,D13,9,49,18,49,0.4146341463414634,21,k,2.8,0,0,0,1,2,35.2,30.80952380952381,1.1393072083706364,10,1,9,5,0
121,2003,w,1-0,1.0,53,B82,6,-1,40,-1,0.0,17,q,2.0,0,0,1,0,3,47.94117647058823,40.76470588235294,1.178434440186535,5,1,3,3,0
122,2003,w,1-0,1.0,97,B32,6,35,17,92,0.061855670103092786,37,k,1.85,3,0,0,0,2,37.55,33.38095238095238,1.1660041553212328,12,2,9,8,0
